Animal,Fast,Tall,Heavy,Predator,Water_Habitat,Earth_Habitat,Climber,Swimmer,Strong,Social,Nocturnal,Lives_in_Packs,Territorial,Good_Eyesight,Sharp_Claws,Diet,Aggressive,Endangered,Jumps_High,Good_Hearing
Kakapo,-0.3,-0.5,-0.2,-0.8,-0.7,1,-0.3,0.25,0.6,0.8,-0.3,0.4,0.7,0.5,-0.8,Herbivore,0.2,0.9,-0.5,0.65
Saiga,0.65,0.75,0.65,-0.85,-0.75,1,-0.2,0.3,0.75,0.8,-0.4,0.6,0.8,0.6,-0.9,Herbivore,0.3,0.4,0.8,0.75
Fossa,0.85,0.35,0.5,1,-0.85,0.95,0.7,0.3,0.8,0.5,0.4,0.75,0.85,0.8,0.85,Carnivore,0.7,0.2,0.7,0.85
Jerboa,0.8,-0.7,-0.8,-0.9,-0.85,1,-0.3,0.2,0.45,0.75,0.2,0.4,0.85,0.6,-0.7,Herbivore,0.3,0.1,1,0.8
Shoebill,0.6,0.8,0.7,-0.7,0.3,1,-0.1,0.4,0.7,0.5,-0.1,0.6,0.75,0.8,-0.4,Carnivore,0.4,0.3,-0.6,0.7
Maned_Wolf,0.75,0.65,0.55,0.9,-0.85,1,-0.2,0.25,0.8,0.6,0.4,0.7,0.8,0.85,0.7,Omnivore,0.5,0.3,0.65,0.85
Okapi,0.55,0.85,0.8,-0.9,-0.85,1,-0.1,0.35,0.85,0.7,-0.3,0.65,0.75,0.6,-0.95,Herbivore,0.3,0.4,-0.8,0.8
Galago,0.7,-0.4,-0.6,-0.7,-0.9,1,0.95,0.2,0.5,0.8,0.3,0.5,0.75,0.85,0.6,Insectivore,0.4,0.5,0.95,0.85
Wombat,0.3,-0.5,-0.1,-0.9,-0.8,1,-0.6,0.2,0.6,0.4,-0.5,-0.4,0.6,0.5,-0.7,Herbivore,0.3,0.2,-0.3,0.65
Dog,0.8,0.3,0.5,0.85,-0.8,1,-0.1,0.3,0.8,0.9,0.5,0.85,0.85,0.8,0.8,Omnivore,0.6,0.1,0.7,0.95
Cat,0.75,-0.2,-0.4,0.9,-0.9,1,0.95,0.1,0.6,0.85,0.8,0.6,0.75,0.9,0.95,Carnivore,0.7,0.05,0.85,0.9
Chicken,-0.2,-0.5,-0.6,-0.9,-0.8,1,-0.1,-0.1,0.4,0.7,-0.2,0.5,0.4,0.6,-0.95,Omnivore,0.1,0.05,0.6,0.8
Cow,-0.6,0.8,0.9,-1,-0.9,1,-0.9,-0.2,0.85,0.85,-0.3,0.75,0.5,0.3,-1,Herbivore,0.2,0.05,-1,0.75
Horse,0.9,0.85,0.8,-0.85,-0.9,1,-0.2,0.3,0.9,0.8,-0.4,0.7,0.6,0.5,-0.8,Herbivore,0.4,0.05,0.9,0.8
Duck,0.3,-0.6,-0.5,-0.8,0.95,0.2,-0.3,1,0.5,0.7,-0.1,0.6,0.5,0.75,-0.9,Omnivore,0.2,0.1,-0.7,0.75
Deer,0.7,0.75,0.65,-0.85,-0.75,1,-0.2,0.3,0.75,0.8,-0.4,0.6,0.8,0.6,-0.9,Herbivore,0.3,0.4,0.8,0.75
Snow Bear,0.6,0.7,0.85,0.9,0.4,0.9,0.5,0.8,0.95,0.4,0.3,0.5,0.85,0.7,0.85,Omnivore,0.75,0.2,-0.3,0.8
Ant,0.7,-0.9,-0.95,0.1,-0.8,1,0.85,0.1,0.2,0.95,-0.1,1,0.7,0.4,-0.8,Omnivore,0.1,0.05,0.85,0.6
Bee,0.85,-0.8,-0.95,0.15,-0.9,1,0.9,0.2,0.3,0.95,-0.1,0.95,0.75,0.5,-0.8,Herbivore,0.15,0.1,0.8,0.65
Butterfly,0.5,-0.85,-0.95,-0.9,-0.8,1,0.9,0.1,0.2,0.8,-0.5,0.4,0.6,0.7,-0.95,Herbivore,0.05,0.05,0.9,0.5
Beetle,0.4,-0.85,-0.9,-0.6,-0.7,1,0.5,0.2,0.6,0.4,-0.2,0.3,0.5,0.6,-0.9,Omnivore,0.3,0.1,0.5,0.5
Dragonfly,0.9,-0.85,-0.95,0.2,-0.85,1,0.9,0.3,0.4,0.6,-0.3,0.5,0.8,0.75,-0.9,Carnivore,0.2,0.1,0.9,0.7
Grasshopper,0.8,-0.75,-0.95,-0.8,-0.85,1,0.85,0.1,0.3,0.6,-0.1,0.7,0.75,0.6,-0.85,Herbivore,0.1,0.05,1,0.6
Moth,0.45,-0.85,-0.95,-0.7,-0.8,1,0.8,0.1,0.3,0.5,0.8,0.3,0.6,0.5,-0.9,Herbivore,0.05,0.1,0.8,0.55
Praying Mantis,0.6,-0.8,-0.95,1,-0.85,1,0.8,0.1,0.5,0.4,-0.3,0.3,0.75,0.85,0.85,Carnivore,0.5,0.2,0.75,0.6
Cockroach,0.7,-0.85,-0.95,-0.6,-0.8,1,0.75,0.1,0.4,0.3,0.9,0.2,0.5,0.4,-0.85,Omnivore,0.15,0.05,0.75,0.55
Firefly,0.55,-0.85,-0.95,-0.7,-0.8,1,0.7,0.1,0.3,0.4,0.8,0.2,0.5,0.6,-0.85,Omnivore,0.1,0.05,0.75,0.5
